geoid,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
00960,2366331,2485,0.914,0.001,18.416747,-66.144485,2017
00961,13404389,168929,5.175,0.065,18.413307,-66.164683,2017
00962,9888762,1121474,3.818,0.433,18.444614,-66.14881899999999,2017
00965,1746399,328905,0.674,0.127,18.433757,-66.114752,2017
00966,8339816,4490,3.22,0.002,18.401521,-66.117597,2017
00968,1185643,0,0.45799999999999996,0.0,18.406085,-66.101232,2017
00969,12648268,39798,4.8839999999999995,0.015,18.368062,-66.108062,2017
00971,41342975,94183,15.963,0.036000000000000004,18.318884,-66.11919,2017
00976,43351334,735152,16.738,0.284,18.33618,-65.994101,2017
00979,4047189,504454,1.5630000000000002,0.195,18.444394,-66.030036,2017
00982,3672331,19112,1.4180000000000001,0.006999999999999999,18.411261,-65.99204499999999,2017
00983,8964405,616660,3.4610000000000003,0.23800000000000002,18.417816000000002,-65.975819,2017
00985,21068679,747164,8.135,0.28800000000000003,18.410774,-65.947927,2017
00987,64350355,422661,24.846,0.163,18.338161,-65.94108299999999,2017
01001,29797204,2118827,11.505,0.818,42.062368,-72.625754,2017
01002,142617852,4276645,55.065,1.651,42.364059999999995,-72.458741,2017
01003,1842387,12788,0.711,0.005,42.389697999999996,-72.52400899999999,2017
01005,114637907,666424,44.262,0.257,42.418848,-72.10659799999999,2017
01007,136236049,6944239,52.601000000000006,2.681,42.27901,-72.400468,2017
01008,139346414,5108939,53.802,1.973,42.190191,-72.954263,2017
01009,2104351,0,0.812,0.0,42.209669,-72.339743,2017
01010,90060192,1415647,34.772,0.547,42.128176,-72.205352,2017
01011,81830551,342669,31.595,0.132,42.300281,-72.968716,2017
01012,33971460,543537,13.116,0.21,42.375425,-72.858192,2017
01013,14567299,1731913,5.624,0.669,42.154903999999995,-72.602804,2017
01020,32299110,1170576,12.470999999999998,0.452,42.172602000000005,-72.562073,2017
01022,12340434,2118,4.765,0.001,42.197741,-72.542713,2017
01026,62173901,332330,24.005,0.128,42.465495000000004,-72.918267,2017
01027,104893841,1205216,40.5,0.465,42.295008,-72.75187700000001,2017
01028,33504712,181924,12.936,0.07,42.062378,-72.498111,2017
01029,41050306,5314948,15.85,2.052,42.193395,-73.044647,2017
01030,30650433,445490,11.834000000000001,0.172,42.072925,-72.686972,2017
01031,21012723,0,8.113,0.0,42.32938,-72.19815600000001,2017
01032,30467674,887485,11.764000000000001,0.34299999999999997,42.457613,-72.81478,2017
01033,72039174,666977,27.814,0.258,42.244949,-72.50014300000001,2017
01034,185541250,5090992,71.638,1.966,42.093911999999996,-72.96110300000001,2017
01035,59785001,3940203,23.083000000000002,1.521,42.356491,-72.568632,2017
01036,50452198,89778,19.48,0.035,42.071188,-72.41771800000001,2017
01037,36534058,3961965,14.106,1.53,42.372728,-72.195412,2017
01038,25871792,2247127,9.988999999999999,0.868,42.385496,-72.60692900000001,2017
01039,34227578,599161,13.215,0.231,42.404287,-72.688924,2017
01040,55069485,4074018,21.261999999999997,1.5730000000000002,42.211656,-72.642448,2017
01050,99264985,2581165,38.326,0.997,42.286762,-72.869695,2017
01053,13289902,251887,5.131,0.09699999999999999,42.356301,-72.713584,2017
01054,59027067,425597,22.79,0.16399999999999998,42.468897999999996,-72.48457900000001,2017
01056,70461231,2938128,27.205,1.1340000000000001,42.183577,-72.457812,2017
01057,116445834,1476587,44.96,0.57,42.093596000000005,-72.321494,2017
01060,28292827,3250681,10.924000000000001,1.255,42.321488,-72.630588,2017
01062,47016498,396837,18.153,0.153,42.323033,-72.701789,2017
