combined_state_area_code,geoid,name,metro_status_ind,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
434.0,10260,"Adjuntas, PR Micro Area",2,172725728,1051790,66.69,0.406,18.181611,-66.758165,2017
220.0,10300,"Adrian, MI Micro Area",2,1941336570,30687108,749.554,11.847999999999999,41.896019,-84.07430699999999,2017
184.0,10420,"Akron, OH Metro Area",1,2331567839,62070183,900.2230000000001,23.965,41.146639,-81.35011,2017
440.0,10540,"Albany, OR Metro Area",1,5923493230,50497756,2287.074,19.497,44.488898,-122.537208,2017
104.0,10580,"Albany-Schenectady-Troy, NY Metro Area",1,7282139776,172580328,2811.65,66.634,42.78792,-73.942348,2017
172.0,10620,"Albemarle, NC Micro Area",2,1023370455,25242751,395.126,9.746,35.310449,-80.254374,2017
290.0,10700,"Albertville, AL Micro Area",2,1465528724,148498594,565.844,57.336000000000006,34.309564,-86.321668,2017
106.0,10740,"Albuquerque, NM Metro Area",1,24043350981,32136080,9283.19,12.408,35.123489,-106.458368,2017
142.0,10760,"Alexander City, AL Micro Area",2,1855771079,128817905,716.5169999999999,49.736999999999995,32.863369,-85.799553,2017
204.0,10860,"Alice, TX Micro Area",2,2240778091,8739522,865.169,3.3739999999999997,27.733515999999998,-98.090814,2017
408.0,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,3762639558,58632594,1452.763,22.638,40.789339,-75.398158,2017
394.0,10940,"Alma, MI Micro Area",2,1472084943,8383160,568.375,3.237,43.292326,-84.60469,2017
108.0,11100,"Amarillo, TX Metro Area",1,13338874025,87049183,5150.168,33.61,35.248005,-101.90867,2017
218.0,11180,"Ames, IA Metro Area",1,1483235295,2509634,572.68,0.9690000000000001,42.037538,-93.466093,2017
104.0,11220,"Amsterdam, NY Micro Area",2,1044067732,18598434,403.11699999999996,7.181,42.900890999999994,-74.435357,2017
258.0,11420,"Angola, IN Micro Area",2,799725227,35458838,308.776,13.690999999999999,41.643467,-85.00240500000001,2017
220.0,11460,"Ann Arbor, MI Metro Area",1,1828420670,42642348,705.957,16.464000000000002,42.252327,-83.844634,2017
118.0,11540,"Appleton, WI Metro Area",1,2475547183,222404950,955.814,85.87100000000001,44.290603000000004,-88.372326,2017
412.0,11580,"Arcadia, FL Micro Area",2,1649978043,6247257,637.06,2.412,27.190580999999998,-81.806253,2017
490.0,11640,"Arecibo, PR Metro Area",1,613199240,231835718,236.75799999999998,89.512,18.439224,-66.75998100000001,2017
556.0,11680,"Arkansas City-Winfield, KS Micro Area",2,2915648172,17322934,1125.738,6.688,37.234507,-96.83724699999999,2017
120.0,11700,"Asheville, NC Metro Area",1,5264421185,21754980,2032.604,8.4,35.595669,-82.68161500000001,2017
360.0,11740,"Ashland, OH Micro Area",2,1095444134,9962880,422.95300000000003,3.847,40.843272999999996,-82.270127,2017
184.0,11780,"Ashtabula, OH Micro Area",2,1818360011,1724498213,702.073,665.8330000000001,41.906636999999996,-80.745592,2017
312.0,11860,"Atchison, KS Micro Area",2,1116736559,6851102,431.17400000000004,2.645,39.532544,-95.313397,2017
174.0,11940,"Athens, TN Micro Area",2,1114009037,5340571,430.121,2.062,35.424471000000004,-84.619962,2017
206.0,11980,"Athens, TX Micro Area",2,2263037771,193234810,873.7639999999999,74.608,32.211633,-95.853418,2017
122.0,12020,"Athens-Clarke County, GA Metro Area",1,2654380348,26343696,1024.862,10.171,33.943984,-83.213897,2017
122.0,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1,22491398238,392840264,8683.978000000001,151.67600000000002,33.693728,-84.399911,2017
428.0,12100,"Atlantic City-Hammonton, NJ Metro Area",1,1438982592,301062779,555.594,116.241,39.469353999999996,-74.633758,2017
426.0,12120,"Atmore, AL Micro Area",2,2447822304,20797758,945.11,8.03,31.122287,-87.16841,2017
258.0,12140,"Auburn, IN Micro Area",2,939731978,2657419,362.833,1.026,41.401189,-85.000185,2017
532.0,12180,"Auburn, NY Micro Area",2,1791190504,445708175,691.5830000000001,172.08900000000003,43.008546,-76.574587,2017
194.0,12220,"Auburn-Opelika, AL Metro Area",1,1573550101,21491164,607.5509999999999,8.298,32.604064,-85.353048,2017
462.0,12380,"Austin, MN Micro Area",2,1842332253,617233,711.328,0.23800000000000002,43.666249,-92.759514,2017
533.0,12460,"Bainbridge, GA Micro Area",2,1546667779,67329727,597.172,25.996,30.880654999999997,-84.584144,2017
548.0,12580,"Baltimore-Columbia-Towson, MD Metro Area",1,6737729367,1304256532,2601.452,503.57599999999996,39.304361,-76.549501,2017
357.0,12660,"Baraboo, WI Micro Area",2,2153665639,45713371,831.535,17.65,43.427997999999995,-89.943329,2017
350.0,12680,"Bardstown, KY Micro Area",2,1081354955,16997387,417.514,6.563,37.803188,-85.46595500000001,2017
148.0,12700,"Barnstable Town, MA Metro Area",1,1020989901,2360346063,394.20599999999996,911.335,41.799014,-70.21188000000001,2017
538.0,12780,"Bartlesville, OK Micro Area",2,1076019752,22829398,415.454,8.814,36.70438,-95.906155,2017
384.0,12820,"Bastrop, LA Micro Area",2,2058870205,28878805,794.934,11.15,32.820008,-91.800399,2017
464.0,12860,"Batavia, NY Micro Area",2,1276698028,6142605,492.936,2.372,43.00091,-78.192778,2017
310.0,12980,"Battle Creek, MI Metro Area",1,1829198151,31268858,706.257,12.073,42.24299,-85.012385,2017
474.0,13020,"Bay City, MI Metro Area",1,1145557694,487990588,442.30199999999996,188.41400000000002,43.699711,-83.978701,2017
288.0,13060,"Bay City, TX Micro Area",2,2830586532,1345801461,1092.896,519.617,28.774759999999997,-96.001532,2017
339.0,13100,"Beatrice, NE Micro Area",2,2205275212,22010737,851.462,8.498,40.255234,-96.683453,2017
376.0,13180,"Beaver Dam, WI Micro Area",2,2267979574,81401509,875.672,31.429000000000002,43.422662,-88.704398,2017
144.0,13260,"Bedford, IN Micro Area",2,1163367128,7122898,449.17900000000003,2.75,38.839815,-86.48782,2017
198.0,13340,"Bellefontaine, OH Micro Area",2,1187337620,21597586,458.434,8.339,40.387553000000004,-83.766343,2017
140.0,13460,"Bend-Redmond, OR Metro Area",1,7815563218,94755758,3017.6059999999998,36.585,43.915118,-121.225575,2017
266.0,13660,"Big Rapids, MI Micro Area",2,1437745751,41762966,555.117,16.125,43.635295,-85.332751,2017
142.0,13820,"Birmingham-Hoover, AL Metro Area",1,13674073275,233572192,5279.589,90.18299999999999,33.462371999999995,-86.814338,2017
292.0,13940,"Blackfoot, ID Micro Area",2,5422887230,68487087,2093.7889999999998,26.443,43.216357,-112.399206,2017
145.0,14010,"Bloomington, IL Metro Area",1,4094224599,27362629,1580.789,10.565,40.405592999999996,-88.861307,2017
144.0,14020,"Bloomington, IN Metro Area",1,2019724936,50070656,779.82,19.332,39.241735999999996,-86.671754,2017
146.0,14100,"Bloomsburg-Berwick, PA Metro Area",1,1588567016,23674173,613.349,9.141,41.040403999999995,-76.46165400000001,2017
406.0,14220,"Bogalusa, LA Micro Area",2,1734071719,16460917,669.529,6.356,30.852144,-90.04625300000001,2017
147.0,14260,"Boise City, ID Metro Area",1,30475522982,170816274,11766.666000000001,65.953,43.006648,-116.14190900000001,2017
206.0,14300,"Bonham, TX Micro Area",2,2307250942,20847063,890.835,8.049,33.591161,-96.104988,2017
218.0,14340,"Boone, IA Micro Area",2,1480381942,5358723,571.5790000000001,2.069,42.038641999999996,-93.938358,2017
108.0,14420,"Borger, TX Micro Area",2,2298408148,19507501,887.42,7.532,35.837047,-101.362746,2017
148.0,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1,9028338538,2655444985,3485.861,1025.2730000000001,42.517606,-71.02199300000001,2017
216.0,14500,"Boulder, CO Metro Area",1,1881281634,36521204,726.367,14.100999999999999,40.09497,-105.397691,2017
150.0,14540,"Bowling Green, KY Metro Area",1,4182603620,62139212,1614.912,23.991999999999997,37.046821,-86.397068,2017
520.0,14700,"Branson, MO Micro Area",2,2839837525,170804954,1096.4669999999999,65.94800000000001,36.695008,-93.223561,2017
500.0,14740,"Bremerton-Silverdale, WA Metro Area",1,1023306116,442189824,395.101,170.73,47.639687,-122.64963600000002,2017
288.0,14780,"Brenham, TX Micro Area",2,1564249679,46077120,603.96,17.79,30.215075,-96.41027199999999,2017
120.0,14820,"Brevard, NC Micro Area",2,980105287,5145714,378.421,1.9869999999999999,35.210079,-82.816653,2017
408.0,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",1,1618664433,549280551,624.97,212.078,41.227413,-73.36706099999999,2017
298.0,15020,"Brookhaven, MS Micro Area",2,1518055421,5309826,586.124,2.05,31.535216,-90.45356600000001,2017
297.0,15140,"Brownsville, TN Micro Area",2,1380741549,2472509,533.107,0.955,35.585316999999996,-89.281654,2017
154.0,15180,"Brownsville-Harlingen, TX Metro Area",1,2307897628,998028553,891.084,385.341,26.102923,-97.47895799999999,2017
360.0,15340,"Bucyrus, OH Micro Area",2,1040619677,2359515,401.786,0.9109999999999999,40.848524,-82.92478299999999,2017
160.0,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1,4053477851,2075791687,1565.057,801.4680000000001,43.044371000000005,-78.777335,2017
268.0,15500,"Burlington, NC Metro Area",1,1096654286,28025249,423.421,10.821,36.043954,-79.400573,2017
122.0,15660,"Calhoun, GA Micro Area",2,921597971,5729801,355.83099999999996,2.2119999999999997,34.509667,-84.873862,2017
548.0,15680,"California-Lexington Park, MD Metro Area",1,928885370,1050517131,358.645,405.60699999999997,38.220289,-76.530384,2017
548.0,15700,"Cambridge, MD Micro Area",2,1400542024,1145384767,540.752,442.236,38.429196000000005,-76.047433,2017
198.0,15740,"Cambridge, OH Micro Area",2,1352631185,15666075,522.254,6.0489999999999995,40.056665,-81.497875,2017
444.0,15860,"Cañon City, CO Micro Area",2,3970664546,2235374,1533.082,0.863,38.45517,-105.424958,2017
427.0,15900,"Canton, IL Micro Area",2,2241880793,43973314,865.595,16.977999999999998,40.46524,-90.202269,2017
184.0,15940,"Canton-Massillon, OH Metro Area",1,2512074440,24849678,969.9169999999999,9.595,40.711071999999994,-81.26147399999999,2017
162.0,15980,"Cape Coral-Fort Myers, FL Metro Area",1,2030703925,1109326687,784.059,428.31300000000005,26.559034999999998,-81.891994,2017
164.0,16020,"Cape Girardeau, MO-IL Metro Area",1,3708758626,72943359,1431.96,28.164,37.325936,-89.76263900000001,2017
456.0,16180,"Carson City, NV Metro Area",1,374669607,32587484,144.661,12.582,39.153059999999996,-119.74737900000001,2017
168.0,16300,"Cedar Rapids, IA Metro Area",1,5202648187,29122009,2008.754,11.244000000000002,42.086329,-91.63114399999999,2017
122.0,16340,"Cedartown, GA Micro Area",2,803751977,4688357,310.33,1.81,33.996015,-85.188338,2017
338.0,16380,"Celina, OH Micro Area",2,1197738404,28425902,462.449,10.975,40.535333,-84.632059,2017
476.0,16460,"Centralia, IL Micro Area",2,1482448747,9481542,572.377,3.661,38.648106,-88.920488,2017
500.0,16500,"Centralia, WA Micro Area",2,6223151001,86954130,2402.772,33.573,46.580071000000004,-122.377444,2017
548.0,16540,"Chambersburg-Waynesboro, PA Metro Area",1,2000052118,1544300,772.2239999999999,0.596,39.926685,-77.724497,2017
170.0,16620,"Charleston, WV Metro Area",1,4519800286,33224908,1745.105,12.828,38.283213,-81.49255699999999,2017
172.0,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",1,13116575726,291051599,5064.338,112.376,35.187295,-80.867491,2017
174.0,16860,"Chattanooga, TN-GA Metro Area",1,5410303008,126661620,2088.93,48.903999999999996,35.049361,-85.36115799999999,2017
176.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1,18637776415,6170610454,7196.085999999999,2382.486,41.823521,-87.82829699999999,2017
198.0,17060,"Chillicothe, OH Micro Area",2,1784986611,9938846,689.187,3.8369999999999997,39.323818,-83.05958100000001,2017
178.0,17140,"Cincinnati, OH-KY-IN Metro Area",1,10789164169,191854509,4165.72,74.075,39.069458000000004,-84.427153,2017
185.0,17380,"Cleveland, MS Micro Area",2,2270541554,75515374,876.6610000000001,29.156999999999996,33.799139000000004,-90.88412,2017
174.0,17420,"Cleveland, TN Metro Area",1,1977106779,26871123,763.365,10.375,35.138117,-84.655079,2017
184.0,17460,"Cleveland-Elyria, OH Metro Area",1,5177922167,5128885835,1999.207,1980.274,41.760391999999996,-81.72421700000001,2017
209.0,17540,"Clinton, IA Micro Area",2,1799830900,39514681,694.919,15.257,41.898073,-90.534243,2017
188.0,17580,"Clovis, NM Micro Area",2,3640098102,8190594,1405.45,3.162,34.572984000000005,-103.346055,2017
434.0,17620,"Coamo, PR Micro Area",2,202052316,38061,78.013,0.015,18.1038,-66.357586,2017
490.0,17640,"Coco, PR Micro Area",2,179660999,115910809,69.368,44.753,17.971485,-66.262252,2017
518.0,17660,"Coeur d'Alene, ID Metro Area",1,3205258021,185023431,1237.557,71.438,47.677113,-116.69491799999999,2017
190.0,17860,"Columbia, MO Metro Area",1,1775563346,14239688,685.549,5.497999999999999,38.989861,-92.310202,2017
192.0,17900,"Columbia, SC Metro Area",1,9590648628,339421964,3702.97,131.05200000000002,34.084176,-81.040596,2017
194.0,17980,"Columbus, GA-AL Metro Area",1,5014750987,61108060,1936.2060000000001,23.594,32.436836,-84.900879,2017
294.0,18020,"Columbus, IN Metro Area",1,1053869826,6814131,406.901,2.6310000000000002,39.205843,-85.897999,2017
200.0,18060,"Columbus, MS Micro Area",2,1309077220,28560499,505.43800000000005,11.027000000000001,33.471424,-88.439723,2017
198.0,18140,"Columbus, OH Metro Area",1,12423092579,139045726,4796.583,53.68600000000001,39.968562,-82.835911,2017
148.0,18180,"Concord, NH Micro Area",2,2415829018,57547411,932.757,22.219,43.299579,-71.680041,2017
458.0,18220,"Connersville, IN Micro Area",2,556901556,366408,215.021,0.141,39.639655,-85.18503100000001,2017
236.0,18500,"Corning, NY Micro Area",2,3601504767,35055663,1390.549,13.535,42.266725,-77.385525,2017
204.0,18580,"Corpus Christi, TX Metro Area",1,4620019299,1599430927,1783.799,617.544,27.898931,-97.401236,2017
206.0,18620,"Corsicana, TX Micro Area",2,2614935427,197626095,1009.632,76.304,32.048448,-96.47690899999999,2017
296.0,18660,"Cortland, NY Micro Area",2,1291815779,7112822,498.773,2.7460000000000004,42.594039,-76.07624,2017
440.0,18700,"Corvallis, OR Metro Area",1,1748712527,7740249,675.182,2.989,44.493882,-123.42466399999999,2017
525.0,18780,"Craig, CO Micro Area",2,12284943876,19803412,4743.244000000001,7.646,40.616358,-108.211099,2017
294.0,18820,"Crawfordsville, IN Micro Area",2,1306954200,2144021,504.61800000000005,0.828,40.040296000000005,-86.892715,2017
142.0,18980,"Cullman, AL Micro Area",2,1903070708,52424813,734.78,20.241,34.131923,-86.86926700000001,2017
