state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
IL,1720610,Joliet Township High School District 204,9,12,279991316,5667677,108.105,2.188,41.472669,-88.109084,2017
IL,1721780,Lake Forest Community High School District 115,9,12,55528941,183164,21.44,0.071,42.252607,-87.858923,2017
IL,1721840,Lake Park Community High School District 108,9,12,49532194,1648437,19.124000000000002,0.636,41.970974,-88.06736,2017
IL,1722110,LaSalle-Peru Township High School District 120,9,12,469190348,6454207,181.155,2.492,41.316801,-89.073678,2017
IL,1722500,Lemont Township High School District 210,9,12,77385016,2920327,29.879,1.128,41.680147999999996,-87.97318800000001,2017
IL,1722740,Leyden Community High School District 212,9,12,44225877,0,17.076,0.0,41.937651,-87.875977,2017
IL,1722830,Libertyville Community High School District 128,9,12,89217809,2298243,34.446999999999996,0.887,42.280015,-87.939942,2017
IL,1722950,Limestone Community High School District 310,9,12,128782039,2194063,49.723,0.847,40.656985999999996,-89.684063,2017
IL,1723050,Lincoln Community High School District 404,9,12,698643821,1970215,269.748,0.7609999999999999,40.140313,-89.389088,2017
IL,1723070,Lincoln Way Community High School District 210,9,12,256101317,249373,98.881,0.096,41.487409,-87.921739,2017
IL,1723350,Lockport Township High School District 205,9,12,157762089,1321267,60.912,0.51,41.593237,-88.01070899999999,2017
IL,1723880,Lyons Township High School District 204,9,12,61022133,289108,23.561,0.11199999999999999,41.786014,-87.879704,2017
IL,1724090,Maine Township High School District 207,9,12,72202919,640546,27.878,0.247,42.029453000000004,-87.864209,2017
IL,1724570,Marengo Community High School District 154,9,12,295984605,349429,114.28,0.135,42.228972,-88.61415699999999,2017
IL,1725320,McHenry Community High School District 156,9,12,112257166,7918327,43.343,3.057,42.337652,-88.27959200000001,2017
IL,1725650,Mendota Township High School District 280,9,12,524310607,505349,202.437,0.195,41.578614,-89.093099,2017
IL,1725770,Metamora Township High School District 122,9,12,249876603,25178715,96.478,9.722000000000001,40.814025,-89.419944,2017
IL,1726180,Fairfield Community High School District 225,9,12,570278185,1990398,220.18599999999998,0.768,38.350556,-88.332937,2017
IL,1726340,Minooka Community High School District 111,9,12,229296487,5189228,88.53200000000001,2.004,41.473077,-88.27685100000001,2017
IL,1726640,Morris Community High School District 101,9,12,271784362,13465220,104.93700000000001,5.199,41.377759999999995,-88.43604599999999,2017
IL,1726880,J. Sterling Morton High School District 201,9,12,39757440,588757,15.35,0.22699999999999998,41.832071,-87.78148900000001,2017
IL,1727360,Mount Vernon Township High School District 201,9,12,663143585,6406046,256.041,2.4730000000000003,38.290071000000005,-88.859965,2017
IL,1727570,Mundelein Consolidated High School District 120,9,12,88405668,4462993,34.134,1.723,42.280209,-88.054266,2017
IL,1727740,Nashville Community High School District 99,9,12,836804824,2335524,323.092,0.902,38.323442,-89.323689,2017
IL,1728200,New Trier Township High School District 203,9,12,49262634,1027033,19.02,0.397,42.101787,-87.750128,2017
IL,1728260,Newark Community High School District 18,9,12,257893498,370498,99.573,0.14300000000000002,41.512202,-88.517912,2017
IL,1728530,Niles Township Community High School District 219,9,12,49732916,0,19.202,0.0,42.029887,-87.758577,2017
IL,1729010,Northfield Township High School District 225,9,12,84407353,749648,32.59,0.289,42.105891,-87.83456,2017
IL,1729220,Oak Lawn Community High School District 229,9,12,15481020,0,5.977,0.0,41.723359,-87.760047,2017
IL,1729280,Oak Park and River Forest District 200,9,12,18408259,4794,7.107,0.002,41.889976000000004,-87.798939,2017
IL,1729730,Ohio Community High School District 505,9,12,130733715,88305,50.477,0.034,41.559469,-89.444849,2017
IL,1729790,O'Fallon Township High School District 203,9,12,126164291,1742357,48.711999999999996,0.6729999999999999,38.60457,-89.906406,2017
IL,1730330,Ottawa Township High School District 140,9,12,605063312,13259802,233.61599999999999,5.12,41.331334000000005,-88.83252,2017
IL,1730450,Township High School District 211,9,12,160476394,1139747,61.96,0.44,42.071975,-88.07129,2017
IL,1731110,Pekin Community High School District 303,9,12,209697369,13247754,80.965,5.115,40.54395,-89.659646,2017
IL,1731620,Pinckneyville Community High School District 101,9,12,749372714,5500521,289.334,2.124,38.117083,-89.38107,2017
IL,1732220,Pontiac Township High School District 90,9,12,702832979,1079513,271.365,0.41700000000000004,40.912485,-88.563135,2017
IL,1732580,Adlai E. Stevenson High School District 125,9,12,104921484,2121418,40.51,0.8190000000000001,42.190802000000005,-87.981064,2017
IL,1732700,Princeton High School District 500,9,12,589237419,849932,227.50599999999997,0.32799999999999996,41.356214,-89.45542900000001,2017
IL,1732910,Proviso Township High School District 209,9,12,63716689,0,24.601,0.0,41.872413,-87.870798,2017
IL,1733240,Rantoul Township High School District 193,9,12,389478258,362791,150.378,0.14,40.298175,-88.13457199999999,2017
IL,1733270,Reavis Township High School District 220,9,12,24447637,0,9.439,0.0,41.759769,-87.770401,2017
IL,1733420,Rich Township High School District 227,9,12,85876846,387516,33.157,0.15,41.510009000000004,-87.73469399999999,2017
IL,1733510,Richmond-Burton Community High School District 157,9,12,112936908,669707,43.605,0.259,42.45465,-88.276748,2017
