state,geoid,ansi_code,name,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
IN,18121,450380,Parke County,1151747431,13683945,444.69199999999995,5.2829999999999995,39.77425,-87.19695,2017
IN,18123,451682,Perry County,988669306,11816977,381.727,4.563,38.081436,-86.62654,2017
IN,18125,450381,Pike County,865676037,17753971,334.23900000000003,6.855,38.397898,-87.23253199999999,2017
IN,18127,450382,Porter County,1082777926,268688087,418.06300000000005,103.741,41.509915,-87.071313,2017
IN,18129,450383,Posey County,1060786892,25260282,409.57199999999995,9.753,38.027614,-87.86865300000001,2017
IN,18131,446852,Pulaski County,1123146087,2291536,433.649,0.885,41.045272,-86.692538,2017
IN,18133,450384,Putnam County,1244585902,5585892,480.537,2.157,39.665548,-86.853373,2017
IN,18135,446853,Randolph County,1171656639,2420286,452.379,0.934,40.164079,-85.00579,2017
IN,18137,450385,Ripley County,1156236802,4237459,446.426,1.636,39.100226,-85.260494,2017
IN,18139,446854,Rush County,1057035404,872270,408.124,0.337,39.622357,-85.466403,2017
IN,18141,452855,St. Joseph County,1185912330,9070753,457.88300000000004,3.502,41.617699,-86.288159,2017
IN,18143,450386,Scott County,493126036,6088999,190.39700000000002,2.351,38.679431,-85.751898,2017
IN,18145,450387,Shelby County,1064884352,4149819,411.154,1.6019999999999999,39.524135,-85.792174,2017
IN,18147,450388,Spencer County,1027620480,12069099,396.767,4.66,38.009696999999996,-87.010375,2017
IN,18149,450389,Starke County,800678470,7930487,309.144,3.062,41.284478,-86.644636,2017
IN,18151,450390,Steuben County,799725227,35458838,308.776,13.690999999999999,41.643467,-85.00240500000001,2017
IN,18153,450391,Sullivan County,1158058307,18096342,447.129,6.987,39.089225,-87.41584300000001,2017
IN,18155,450392,Switzerland County,571509742,7193732,220.66099999999997,2.778,38.825854,-85.02968100000001,2017
IN,18157,450393,Tippecanoe County,1292138000,11256312,498.897,4.346,40.389133,-86.89355400000001,2017
IN,18159,450394,Tipton County,674797600,68028,260.541,0.026000000000000002,40.310229,-86.056207,2017
IN,18161,450395,Union County,417568563,10238515,161.224,3.9530000000000003,39.623111,-84.925152,2017
IN,18163,450396,Vanderburgh County,605228197,7654554,233.68,2.955,38.020070000000004,-87.586166,2017
IN,18165,450397,Vermillion County,665311748,7904759,256.878,3.052,39.854045,-87.462071,2017
IN,18167,450398,Vigo County,1044993095,18068475,403.474,6.976,39.429142999999996,-87.390375,2017
IN,18169,450399,Wabash County,1068205084,22117118,412.436,8.539,40.843747,-85.795192,2017
IN,18171,450400,Warren County,944520568,4466121,364.681,1.724,40.352658,-87.375847,2017
IN,18173,450335,Warrick County,996664713,16155577,384.814,6.2379999999999995,38.097728000000004,-87.272049,2017
IN,18175,451665,Washington County,1330545619,7438838,513.727,2.872,38.600613,-86.10475100000001,2017
IN,18177,450336,Wayne County,1040508996,6732250,401.74300000000005,2.5989999999999998,39.863091,-85.00673499999999,2017
IN,18179,450337,Wells County,953341274,5596377,368.087,2.161,40.735273,-85.212974,2017
IN,18181,450338,White County,1308269840,9203227,505.126,3.553,40.75095,-86.864293,2017
IN,18183,450369,Whitley County,869120483,6073937,335.569,2.345,41.136426,-85.501892,2017
IA,19001,465190,Adair County,1474404199,2597996,569.271,1.003,41.328528000000006,-94.478164,2017
IA,19003,465191,Adams County,1096700779,5353407,423.439,2.0669999999999997,41.021656,-94.69690600000001,2017
IA,19005,465192,Allamakee County,1655214176,50995532,639.082,19.689,43.274964000000004,-91.382751,2017
IA,19007,465193,Appanoose County,1287982562,49084378,497.293,18.952,40.744296000000006,-92.87306099999999,2017
IA,19009,465194,Audubon County,1147264553,1152260,442.961,0.445,41.679178,-94.904312,2017
IA,19011,465195,Benton County,1855117319,5760770,716.265,2.224,42.092546999999996,-92.05763,2017
IA,19013,465196,Black Hawk County,1465369216,17862718,565.7819999999999,6.897,42.471540999999995,-92.308033,2017
IA,19015,465197,Boone County,1480381942,5358723,571.5790000000001,2.069,42.038641999999996,-93.938358,2017
IA,19017,465198,Bremer County,1127885581,10166470,435.47900000000004,3.925,42.780895,-92.32735600000001,2017
IA,19019,465199,Buchanan County,1478934776,5427666,571.02,2.096,42.470328,-91.838666,2017
IA,19021,465200,Buena Vista County,1488989049,13791660,574.9019999999999,5.325,42.741521999999996,-95.141432,2017
IA,19023,465201,Butler County,1502550906,4194911,580.138,1.62,42.734708000000005,-92.780066,2017
IA,19025,465202,Calhoun County,1475894622,5873828,569.846,2.2680000000000002,42.38617,-94.643683,2017
IA,19027,465203,Carroll County,1474835092,2145349,569.437,0.828,42.039491999999996,-94.86764699999999,2017
IA,19029,465204,Cass County,1461450798,1758815,564.269,0.679,41.333824,-94.933302,2017
IA,19031,465205,Cedar County,1500730782,6385832,579.435,2.4659999999999997,41.77236,-91.132611,2017
IA,19033,465206,Cerro Gordo County,1471881731,17668265,568.297,6.822,43.074975,-93.25096500000001,2017
IA,19035,465207,Cherokee County,1494180443,423160,576.906,0.163,42.742737,-95.633262,2017
IA,19037,465208,Chickasaw County,1306338760,3309323,504.38,1.278,43.059740999999995,-92.31721,2017
IA,19039,465209,Clarke County,1116716130,1524746,431.167,0.589,41.029191,-93.78409599999999,2017
IA,19041,465625,Clay County,1469139466,13866649,567.238,5.354,43.081224,-95.149875,2017
IA,19043,465210,Clayton County,2016295994,36695627,778.4960000000001,14.168,42.840984999999996,-91.323576,2017
IA,19045,465211,Clinton County,1799830900,39514681,694.919,15.257,41.898073,-90.534243,2017
IA,19047,465212,Crawford County,1849742884,2194272,714.19,0.847,42.043119,-95.38909,2017
IA,19049,465213,Dallas County,1523691141,8561943,588.3,3.306,41.685321,-94.040707,2017
IA,19051,465214,Davis County,1300661857,6904096,502.18800000000005,2.6660000000000004,40.748089,-92.41034499999999,2017
IA,19053,465215,Decatur County,1377567314,4140764,531.882,1.599,40.736379,-93.78458,2017
IA,19055,465216,Delaware County,1496278852,3185282,577.717,1.23,42.472937,-91.36676700000001,2017
IA,19057,465217,Des Moines County,1077784093,35342793,416.135,13.645999999999999,40.915339,-91.186925,2017
IA,19059,465218,Dickinson County,985539078,60716111,380.519,23.443,43.389611,-95.196057,2017
IA,19061,465219,Dubuque County,1575488090,21138790,608.299,8.162,42.463481,-90.878771,2017
IA,19063,465220,Emmet County,1025328490,17196403,395.88199999999995,6.64,43.377984000000005,-94.66937,2017
IA,19065,465221,Fayette County,1892840950,1320705,730.83,0.51,42.864121999999995,-91.840376,2017
IA,19067,465222,Floyd County,1296631080,1942548,500.63199999999995,0.75,43.052741,-92.787367,2017
IA,19069,465223,Franklin County,1507301123,1428932,581.972,0.552,42.736549,-93.271425,2017
IA,19071,465224,Fremont County,1323807065,14280096,511.125,5.513999999999999,40.74259,-95.599182,2017
IA,19073,465225,Greene County,1475260906,4255701,569.601,1.643,42.042494,-94.388703,2017
IA,19075,465226,Grundy County,1299797785,94406,501.855,0.036000000000000004,42.403323,-92.790261,2017
IA,19077,465227,Guthrie County,1529698836,6355533,590.62,2.454,41.683572999999996,-94.501272,2017
IA,19079,465228,Hamilton County,1493777024,1965341,576.751,0.759,42.390768,-93.709198,2017
IA,19081,465229,Hancock County,1478895055,5265568,571.005,2.033,43.075410999999995,-93.743697,2017
IA,19083,465230,Hardin County,1474507918,1773877,569.311,0.685,42.390208,-93.24166899999999,2017
IA,19085,465231,Harrison County,1804808356,12417698,696.84,4.795,41.688584000000006,-95.827149,2017
IA,19087,465232,Henry County,1124792081,5768130,434.285,2.227,40.984802,-91.547259,2017
IA,19089,465233,Howard County,1225706339,927963,473.24800000000005,0.358,43.365312,-92.321908,2017
IA,19091,465234,Humboldt County,1124996886,3376514,434.36400000000003,1.304,42.782221,-94.202775,2017
IA,19093,465235,Ida County,1117599859,1406461,431.50800000000004,0.5429999999999999,42.39186,-95.507421,2017
IA,19095,465236,Iowa County,1518916008,2686847,586.457,1.037,41.683918,-92.059123,2017
IA,19097,465237,Jackson County,1647332487,35141496,636.039,13.568,42.164281,-90.574596,2017
IA,19099,465238,Jasper County,1891773617,6565650,730.418,2.535,41.685551000000004,-93.054147,2017
IA,19101,465239,Jefferson County,1127999784,3524824,435.523,1.361,41.006384000000004,-91.96744,2017
IA,19103,465240,Johnson County,1590377745,23572945,614.048,9.102,41.668877,-91.588924,2017
IA,19105,465241,Jones County,1490771974,3661438,575.59,1.4140000000000001,42.125118,-91.11691400000001,2017
IA,19107,465242,Keokuk County,1500067253,1929323,579.179,0.745,41.331182,-92.167721,2017
IA,19109,465243,Kossuth County,2519361813,4125592,972.7310000000001,1.5930000000000002,43.212478000000004,-94.213983,2017
IA,19111,465244,Lee County,1340422373,55292890,517.54,21.349,40.647588,-91.47715699999999,2017
IA,19113,465245,Linn County,1856758894,19699801,716.8989999999999,7.606,42.077951,-91.597674,2017
IA,19115,465246,Louisa County,1040583090,40784329,401.77099999999996,15.747,41.218211,-91.25699399999999,2017
IA,19117,465247,Lucas County,1115257644,9852833,430.603,3.804,41.033344,-93.331467,2017
IA,19119,465248,Lyon County,1522007138,334399,587.65,0.129,43.38358,-96.207201,2017
IA,19121,465249,Madison County,1452999208,2983840,561.006,1.1520000000000001,41.330622,-94.01518399999999,2017
IA,19123,465250,Mahaska County,1478527855,6564804,570.863,2.535,41.330797,-92.63636600000001,2017
IA,19125,465251,Marion County,1436124182,41487001,554.491,16.018,41.331455,-93.093849,2017
IA,19127,465252,Marshall County,1482776070,1803080,572.503,0.696,42.041691,-92.981452,2017
IA,19129,465253,Mills County,1132950323,8306492,437.435,3.207,41.033703,-95.619101,2017
IA,19131,465254,Mitchell County,1215049040,1118415,469.13300000000004,0.43200000000000005,43.348564,-92.78446600000001,2017
IA,19133,465255,Monona County,1797637874,12592242,694.072,4.862,42.049432,-95.95656600000001,2017
IA,19135,465256,Monroe County,1123317229,1522790,433.715,0.588,41.028847,-92.869642,2017
IA,19137,465257,Montgomery County,1098405722,2410445,424.097,0.9309999999999999,41.021735,-95.15779,2017
IA,19139,465258,Muscatine County,1132977189,30262373,437.445,11.684000000000001,41.483776,-91.11869899999999,2017
IA,19141,465259,O'Brien County,1484154165,447448,573.035,0.17300000000000001,43.083746000000005,-95.625624,2017
IA,19143,465260,Osceola County,1032593860,1835265,398.68699999999995,0.7090000000000001,43.378541999999996,-95.633788,2017
IA,19145,465261,Page County,1385497544,1359120,534.944,0.525,40.739090000000004,-95.14429,2017
IA,19147,465262,Palo Alto County,1460391661,14437623,563.86,5.574,43.075337,-94.669055,2017
IA,19149,465263,Plymouth County,2234715192,2176851,862.828,0.84,42.737584999999996,-96.215864,2017
IA,19151,465264,Pocahontas County,1495047142,3666530,577.241,1.416,42.734033000000004,-94.678279,2017
IA,19153,465265,Polk County,1482734960,49332276,572.487,19.047,41.684816,-93.56897099999999,2017
IA,19155,465266,Pottawattamie County,2461903582,22261204,950.546,8.595,41.340184,-95.544905,2017
IA,19157,465267,Poweshiek County,1514929499,2977605,584.918,1.15,41.684526,-92.522882,2017
IA,19159,465268,Ringgold County,1386935176,8720332,535.499,3.367,40.735334,-94.244251,2017
IA,19161,465269,Sac County,1489300182,8569441,575.0219999999999,3.3089999999999997,42.387526,-95.10522399999999,2017
IA,19163,465270,Scott County,1186437866,26222175,458.086,10.124,41.642078999999995,-90.622289,2017
IA,19165,465271,Shelby County,1530110554,1486125,590.779,0.574,41.679014,-95.30891700000001,2017
IA,19167,465272,Sioux County,1988797652,2885657,767.8789999999999,1.114,43.082646000000004,-96.17801,2017
IA,19169,465273,Story County,1483235295,2509634,572.68,0.9690000000000001,42.037538,-93.466093,2017
IA,19171,465274,Tama County,1867411148,2769421,721.012,1.069,42.074847999999996,-92.529411,2017
IA,19173,465275,Taylor County,1377618873,7133364,531.9019999999999,2.7539999999999996,40.737949,-94.697108,2017
IA,19175,465276,Union County,1097235765,5575853,423.645,2.153,41.02855,-94.245091,2017
IA,19177,465277,Van Buren County,1255646356,14839917,484.80800000000005,5.73,40.754117,-91.952943,2017
IA,19179,465278,Wapello County,1118460312,10829143,431.84,4.181,41.031263,-92.409482,2017
IA,19181,465279,Warren County,1475875019,9095218,569.839,3.512,41.332446000000004,-93.568751,2017
IA,19183,465280,Washington County,1473243904,5353677,568.823,2.0669999999999997,41.329401000000004,-91.725052,2017
IA,19185,465281,Wayne County,1360940440,4347639,525.462,1.679,40.739983,-93.332613,2017
IA,19187,465282,Webster County,1853586077,7278162,715.674,2.81,42.433578999999995,-94.175831,2017
IA,19189,465283,Winnebago County,1037261944,3182052,400.48900000000003,1.229,43.378124,-93.743488,2017
IA,19191,465284,Winneshiek County,1786713778,698598,689.8539999999999,0.27,43.292989,-91.850788,2017
IA,19193,465285,Woodbury County,2260790978,12793719,872.8960000000001,4.94,42.39322,-96.053296,2017
IA,19195,465286,Worth County,1036314926,4709127,400.12300000000005,1.818,43.373490999999994,-93.248533,2017
