geoid,name,urban_area_type,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
02980,"Arcola, IL Urban Cluster",C,3492690,44848,1.349,0.017,39.684596,-88.302758,2017
03007,"Ardmore, OK Urban Cluster",C,30232601,76559,11.673,0.03,34.178548,-97.14166,2017
03034,"Arecibo, PR Urbanized Area",U,217708137,1543862,84.05799999999999,0.596,18.454601,-66.807974,2017
03088,"Arizona City, AZ Urban Cluster",C,12150456,186302,4.691,0.07200000000000001,32.749832,-111.673175,2017
03115,"Arkadelphia, AR Urban Cluster",C,14924020,0,5.7620000000000005,0.0,34.124479,-93.067849,2017
03142,"Arkansas City, KS Urban Cluster",C,24895459,143724,9.612,0.055,37.060526,-97.034648,2017
03158,"Arlington, TN Urban Cluster",C,20085296,88142,7.755,0.034,35.280006,-89.662685,2017
03196,"Arroyo Grande--Grover Beach, CA Urbanized Area",U,59632917,233075,23.024,0.09,35.118449,-120.60761000000001,2017
03223,"Artesia, NM Urban Cluster",C,16878273,16969,6.517,0.006999999999999999,32.837488,-104.414485,2017
03250,"Arvin, CA Urban Cluster",C,11204963,0,4.3260000000000005,0.0,35.203012,-118.832555,2017
03277,"Ashburn, GA Urban Cluster",C,8186518,104500,3.161,0.04,31.700815000000002,-83.650095,2017
03304,"Ashdown, AR Urban Cluster",C,9399512,0,3.6289999999999996,0.0,33.679449,-94.125849,2017
03331,"Asheboro, NC Urban Cluster",C,85270640,197576,32.923,0.076,35.731289000000004,-79.804259,2017
03358,"Asheville, NC Urbanized Area",U,686015974,6252194,264.872,2.414,35.536615000000005,-82.664713,2017
03365,"Ashland, MO Urban Cluster",C,4721253,0,1.8230000000000002,0.0,38.771524,-92.25913100000001,2017
03375,"Ashland, NE Urban Cluster",C,3232694,66446,1.248,0.026000000000000002,41.040566,-96.366597,2017
03385,"Ashland, OH Urban Cluster",C,20736511,49269,8.006,0.019,40.863585,-82.316997,2017
03395,"Ashland, PA Urban Cluster",C,14644958,0,5.654,0.0,40.765322,-76.387366,2017
03412,"Ashland, WI Urban Cluster",C,11179053,5410,4.316,0.002,46.578646,-90.881298,2017
03439,"Ashland City, TN Urban Cluster",C,8170373,0,3.155,0.0,36.300459000000004,-87.04661,2017
03466,"Ashtabula, OH Urban Cluster",C,56393843,403383,21.774,0.156,41.877016999999995,-80.78496,2017
03493,"Ashville, OH Urban Cluster",C,13965050,534661,5.392,0.20600000000000002,39.718512,-82.967119,2017
03520,"Aspen, CO Urban Cluster",C,11838633,0,4.571000000000001,0.0,39.199278,-106.84028300000001,2017
03547,"Astoria, OR Urban Cluster",C,23573200,1641819,9.102,0.634,46.15521,-123.84968899999998,2017
03601,"Atchison, KS--MO Urban Cluster",C,15613688,160893,6.028,0.062,39.570588,-95.137251,2017
03655,"Athens, AL Urban Cluster",C,69988372,501547,27.023000000000003,0.19399999999999998,34.811825,-86.952175,2017
03682,"Athens, OH Urban Cluster",C,25728992,260344,9.934,0.10099999999999999,39.327239,-82.111599,2017
03709,"Athens, TN Urban Cluster",C,38475362,0,14.855,0.0,35.448026,-84.600178,2017
03736,"Athens, TX Urban Cluster",C,23896496,64685,9.226,0.025,32.201603999999996,-95.847373,2017
03763,"Athens-Clarke County, GA Urbanized Area",U,254858033,2543801,98.40100000000001,0.982,33.942089,-83.39827199999999,2017
03790,"Athol, MA Urban Cluster",C,24221424,1053681,9.352,0.40700000000000003,42.621077,-72.23532,2017
